Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,110.236,-87.884,0.0,top
C2,10uF,C_0805_2012Metric,114.3,-87.884,0.0,top
C3,0.1uF,C_0805_2012Metric,147.574,-85.598,0.0,top
C4,0.1uF,C_0805_2012Metric,151.892,-85.598,0.0,top
C5,10uF,C_0805_2012Metric,186.436,-86.106,0.0,top
C6,0.1uF,C_0805_2012Metric,190.754,-86.106,0.0,top
D1,RED,D_0603_1608Metric,228.854,-58.674,90.0,top
D2,RED,D_0603_1608Metric,72.898,-102.362,0.0,top
J1,RJ45,RJ45_Amphenol_54602-x08_Horizontal,85.0537,-124.46,0.0,top
J2,RJ45,RJ45_Amphenol_54602-x08_Horizontal,103.2328,-124.46,0.0,top
J3,RJ45,RJ45_Amphenol_54602-x08_Horizontal,121.7023,-124.46,0.0,top
J4,RJ45,RJ45_Amphenol_54602-x08_Horizontal,140.1717,-124.46,0.0,top
J5,RJ45,RJ45_Amphenol_54602-x08_Horizontal,158.6411,-124.46,0.0,top
J6,RJ45,RJ45_Amphenol_54602-x08_Horizontal,177.1106,-124.46,0.0,top
J7,RJ45,RJ45_Amphenol_54602-x08_Horizontal,195.58,-124.46,0.0,top
J8,8P8C_LED,RJ45_Amphenol_RJHSE538X,215.394,-125.343,180.0,top
J9,RJ45,RJ45_Amphenol_54602-x08_Horizontal,224.536,-91.44,90.0,top
J10,RJ45,RJ45_Amphenol_54602-x08_Horizontal,224.282,-71.12,90.0,top
Q1,AO3406,SOT-23-3,91.9311,-109.032,0.0,top
Q2,AO3401A,SOT-23-3,83.092,-109.22,0.0,top
Q3,AO3401A,SOT-23-3,110.1852,-109.032,0.0,top
Q4,AO3406,SOT-23-3,101.0581,-109.032,0.0,top
Q5,AO3401A,SOT-23-3,128.4393,-109.032,0.0,top
Q6,AO3406,SOT-23-3,119.3123,-109.032,0.0,top
Q7,AO3401A,SOT-23-3,137.5664,-109.032,0.0,top
Q8,AO3406,SOT-23-3,146.6935,-109.032,0.0,top
Q9,AO3401A,SOT-23-3,164.9476,-109.032,0.0,top
Q10,AO3406,SOT-23-3,155.8205,-109.032,0.0,top
Q11,AO3401A,SOT-23-3,183.2017,-109.032,0.0,top
Q12,AO3406,SOT-23-3,174.0747,-109.032,0.0,top
Q13,AO3401A,SOT-23-3,201.4559,-109.032,0.0,top
Q14,AO3406,SOT-23-3,192.3288,-109.032,0.0,top
Q15,AO3406,SOT-23-3,219.71,-109.032,0.0,top
Q16,AO3401A,SOT-23-3,210.5829,-109.032,0.0,top
R1,20k,R_0805_2012Metric,107.188,-77.47,0.0,top
R2,20k,R_0805_2012Metric,112.522,-77.47,0.0,top
R3,20k,R_0805_2012Metric,117.856,-77.47,0.0,top
R4,10K,R_0805_2012Metric,222.504,-58.928,90.0,top
R5,10K,R_0805_2012Metric,103.378,-90.603,90.0,top
R6,10K,R_0805_2012Metric,121.666,-91.2895,90.0,top
R7,10K,R_0805_2012Metric,72.898,-108.966,0.0,top
R8,100K,R_0805_2012Metric,100.9885,-82.804,0.0,top
R9,20k,R_0805_2012Metric,145.288,-76.454,0.0,top
R10,20k,R_0805_2012Metric,150.876,-76.454,0.0,top
R11,20k,R_0805_2012Metric,156.0595,-76.454,0.0,top
R12,20k,R_0805_2012Metric,182.88,-76.2,0.0,top
R13,20k,R_0805_2012Metric,188.56,-76.2,0.0,top
R14,20k,R_0805_2012Metric,194.056,-76.2,0.0,top
R15,10K,R_0805_2012Metric,227.076,-110.236,0.0,top
U1,PCF8574T,SOIC127P1032X265-16N,150.114,-92.964,0.0,top
U2, TCA9548APWR,TSSOP-24_W4.40mm,112.014,-94.234,-90.0,top
U3,PCF8574T,SOIC127P1032X265-16N,188.722,-93.726,0.0,top
