Comment,Designator,Footprint,LCSC
10uF,"C11,C5,C6,C7,C9",C_0805_2012Metric,C15850
1.5uH,L1,IND_XFL4020-152MEC,C167802
47,"R1,R2,R5,R6,R7,R8,R9",R_0805_2012Metric,C17414
10k,"R3,R4",R_1206_3216Metric,C17902
RED,D1,D_0603_1608Metric,C2286
~,J1,"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",C2757925
TPS630701RNMR,U2,VREG_TPS63070RNMR,C2876599
8P8C_LED_Shielded,"J4,J6",RJ45_Amphenol_RJHSE538X,C386757
22uF,"C13,C14,C15,C8",C_0805_2012Metric,C45783
HeaderP2.54mm,J2,PinHeader_1x07_P2.54mm_Vertical,C492406
0.1uF,"C1,C10,C12,C2,C3,C4",C_0805_2012Metric,C49678
Screw_Terminal_01x03,J5,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",C557647
HeaderP2.54mm,J3,PinHeader_1x06_P2.54mm_Vertical,C706878
L01Z050S05,IC1,L01Z050S05,
